model,step,timestamp,combined_pvalue
Graph Transformer,10,2025-10-01T03:20:50.911442,3.284934933749e-84
Graph Transformer,20,2025-10-01T03:25:36.713252,4.399029274512e-86
Graph Transformer,30,2025-10-01T03:30:26.158085,4.037172039658e-80
Graph Transformer,40,2025-10-01T03:35:18.120934,2.650109910952e-123
Graph Transformer,50,2025-10-01T03:40:08.662773,9.319356171546e-61
Graph Transformer,60,2025-10-01T03:45:00.131617,1.612184387542e-90
Graph Transformer,70,2025-10-01T03:49:49.745449,4.370738577822e-80
Graph Transformer,80,2025-10-01T03:54:38.613277,2.462446254860e-53
Graph Transformer,90,2025-10-01T03:59:28.566110,3.797220891713e-62
Graph Transformer,100,2025-10-01T04:04:17.023934,2.617915061152e-79
Graph Transformer,110,2025-10-01T04:09:06.986768,1.162121298524e-87
Graph Transformer,120,2025-10-01T04:13:57.817607,7.688067548508e-55
Graph Transformer,130,2025-10-01T04:18:48.298445,5.490772909306e-93
Graph Transformer,140,2025-10-01T04:23:38.959284,1.650381368360e-90
Graph Transformer,150,2025-10-01T04:28:30.510128,1.345523451931e-110
Graph Transformer,160,2025-10-01T04:33:20.783967,1.347608516320e-122
Graph Transformer,170,2025-10-01T04:38:11.065805,8.385213743259e-69
Graph Transformer,180,2025-10-01T04:43:00.955641,5.144816606077e-82
Graph Transformer,190,2025-10-01T04:47:50.987480,1.189273785330e-95
Graph Transformer,200,2025-10-01T04:52:40.910320,2.230701242168e-69
Graph Transformer,210,2025-10-01T04:57:30.708159,7.935909179401e-72
Graph Transformer,220,2025-10-01T05:02:19.353991,4.352858876609e-112
Graph Transformer,230,2025-10-01T05:07:08.436833,8.051868483604e-68
Graph Transformer,240,2025-10-01T05:11:58.139681,4.354585630633e-93
Graph Transformer,250,2025-10-01T05:16:48.396532,2.893303453344e-109
Graph Transformer,260,2025-10-01T05:21:39.154390,4.772088591286e-76
Graph Transformer,270,2025-10-01T05:26:30.421259,2.658170552221e-110
Graph Transformer,280,2025-10-01T05:31:21.020124,6.722851324252e-75
Graph Transformer,290,2025-10-01T05:36:10.668983,1.303899092419e-76
Graph Transformer,300,2025-10-01T05:41:02.401867,1.340133760655e-62
Graph Transformer,310,2025-10-01T05:45:52.825746,2.262606365806e-92
Graph Transformer,320,2025-10-01T05:50:42.947624,1.020992216985e-46
Graph Transformer,330,2025-10-01T05:55:34.450512,8.648056889089e-51
Graph Transformer,340,2025-10-01T06:00:24.115396,1.901346548896e-28
Graph Transformer,350,2025-10-01T06:05:13.792279,2.390905529165e-99
Graph Transformer,360,2025-10-01T06:10:02.099154,5.862812668662e-64
Graph Transformer,370,2025-10-01T06:14:52.131039,3.743876456826e-31
Graph Transformer,380,2025-10-01T06:19:42.902929,4.434184936173e-12
Graph Transformer,390,2025-10-01T06:24:32.443810,3.169972801314e-96
Graph Transformer,400,2025-10-01T06:29:23.293700,4.685159692932e-85
Graph Transformer,410,2025-10-01T06:34:13.373581,2.351584827680e-09
Graph Transformer,420,2025-10-01T06:39:04.909472,5.073354651164e-91
Graph Transformer,430,2025-10-01T06:43:55.769358,7.244717736344e-33
Graph Transformer,440,2025-10-01T06:48:47.665247,3.415632011695e-33
Graph Transformer,450,2025-10-01T06:53:38.922129,1.217587279131e-26
Graph Transformer,460,2025-10-01T06:58:27.934997,5.599223797240e-05
Graph Transformer,470,2025-10-01T07:03:17.204866,1.425908033475e-20
Graph Transformer,480,2025-10-01T07:08:08.695792,1.700425520870e-21
Graph Transformer,490,2025-10-01T07:12:58.700710,2.011959813636e-15
Graph Transformer,500,2025-10-01T07:17:48.939629,1.852625961126e-31
Graph Transformer,510,2025-10-01T07:22:39.242548,1.615538604691e-30
Graph Transformer,520,2025-10-01T07:27:28.984461,2.459360172263e-38
Graph Transformer,530,2025-10-01T07:32:19.667381,1.196521370210e-74
Graph Transformer,540,2025-10-01T07:37:09.558295,1.761613738490e-09
Graph Transformer,550,2025-10-01T07:41:58.571303,2.119098834886e-36
Graph Transformer,560,2025-10-01T07:46:47.889333,4.729456600109e-33
Graph Transformer,570,2025-10-01T07:51:37.821367,3.300657203520e-71
Graph Transformer,580,2025-10-01T07:56:29.419392,2.026444026479e-33
Graph Transformer,590,2025-10-01T08:01:19.364339,1.051194037343e-41
Graph Transformer,600,2025-10-01T08:06:09.878291,1.849551907979e-64
Graph Transformer,610,2025-10-01T08:10:59.086233,3.357395857160e-16
Graph Transformer,620,2025-10-01T08:15:48.464153,1.406847058420e-55
Graph Transformer,630,2025-10-01T08:20:38.937069,3.823752840215e-12
Graph Transformer,640,2025-10-01T08:25:28.893981,1.082920650618e-16
Graph Transformer,650,2025-10-01T08:30:18.671890,7.761147945836e-11
Graph Transformer,660,2025-10-01T08:35:08.377787,3.799248723393e-39
Graph Transformer,670,2025-10-01T08:39:58.952689,6.081726745012e-33
Graph Transformer,680,2025-10-01T08:44:50.182596,6.293956972506e-10
Graph Transformer,690,2025-10-01T08:49:41.366504,5.619440807848e-74
Graph Transformer,700,2025-10-01T08:54:31.068404,1.729035111443e-29
Graph Transformer,710,2025-10-01T08:59:21.555310,4.297756925237e-15
Graph Transformer,720,2025-10-01T09:04:12.122215,1.128375301991e-45
Graph Transformer,730,2025-10-01T09:09:04.057139,6.634589707801e-06
Graph Transformer,740,2025-10-01T09:13:53.854048,1.125315374404e-40
Graph Transformer,750,2025-10-01T09:18:44.938966,1.506443680616e-34
Graph Transformer,760,2025-10-01T09:23:35.633878,3.941260364584e-07
Graph Transformer,770,2025-10-01T09:28:25.823784,2.397644498258e-22
Graph Transformer,780,2025-10-01T09:33:16.251692,3.406807900894e-47
Graph Transformer,790,2025-10-01T09:38:06.362597,2.298777285287e-08
Graph Transformer,800,2025-10-01T09:42:57.064503,1.803459583026e-08
Graph Transformer,810,2025-10-01T09:47:48.144411,1.866911000193e-35
Graph Transformer,820,2025-10-01T09:52:41.361334,3.512385358980e-22
Graph Transformer,830,2025-10-01T09:57:34.304253,1.164867458199e-26
Graph Transformer,840,2025-10-01T10:02:26.933167,3.389604931609e-18
Graph Transformer,850,2025-10-01T10:07:19.379080,2.943997135208e-63
Graph Transformer,860,2025-10-01T10:12:13.727006,4.121266605825e-47
Graph Transformer,870,2025-10-01T10:17:08.599951,6.911175791257e-03
Graph Transformer,880,2025-10-01T10:22:01.342886,1.339369619942e-26
Graph Transformer,890,2025-10-01T10:26:54.814826,6.492139196667e-63
Graph Transformer,900,2025-10-01T10:31:47.489753,5.696571771329e-10
Graph Transformer,910,2025-10-01T10:36:40.604662,5.285310087577e-113
Graph Transformer,920,2025-10-01T10:41:32.917565,4.759442974267e-65
Graph Transformer,930,2025-10-01T10:46:26.801479,1.078106566165e-04
Graph Transformer,940,2025-10-01T10:51:21.872400,2.039005798586e-33
Graph Transformer,950,2025-10-01T10:56:14.723306,1.736997915942e-92
Graph Transformer,960,2025-10-01T11:01:08.678220,1.232914085256e-18
Graph Transformer,970,2025-10-01T11:06:01.316126,1.083161299641e-16
Graph Transformer,980,2025-10-01T11:10:53.183026,5.721319585732e-20
Graph Transformer,990,2025-10-01T11:15:45.064927,6.787242767372e-45
Graph Transformer,1000,2025-10-01T11:20:37.618831,7.237615152147e-07
Graph Transformer,1010,2025-10-01T11:25:29.188730,4.064812576533e-03
Graph Transformer,1020,2025-10-01T11:30:23.188643,4.267105234017e-51
Graph Transformer,1030,2025-10-01T11:35:15.830548,9.168603680364e-03
Graph Transformer,1040,2025-10-01T11:40:09.335459,5.277300834709e-57
Graph Transformer,1050,2025-10-01T11:45:00.354355,9.537416299755e-23
Graph Transformer,1060,2025-10-01T11:49:52.284257,9.033558253737e-17
Graph Transformer,1070,2025-10-01T11:54:46.084172,3.055404899058e-47
Graph Transformer,1080,2025-10-01T11:59:40.117088,4.144982016761e-08
Graph Transformer,1090,2025-10-01T12:04:34.231004,6.379331142304e-10
Graph Transformer,1100,2025-10-01T12:09:26.746910,4.450986596959e-16
Graph Transformer,1110,2025-10-01T12:14:20.265822,1.444833296782e-05
Graph Transformer,1120,2025-10-01T12:19:12.992732,8.893867556533e-13
Graph Transformer,1130,2025-10-01T12:24:05.752641,7.308450381801e-12
Graph Transformer,1140,2025-10-01T12:28:58.956553,4.203925214947e-35
Graph Transformer,1150,2025-10-01T12:33:53.858476,4.144335933024e-19
Graph Transformer,1160,2025-10-01T12:38:47.395389,8.196896821102e-05
Graph Transformer,1170,2025-10-01T12:43:42.062309,6.630163360194e-21
Graph Transformer,1180,2025-10-01T12:48:35.722222,3.430161866959e-48
Graph Transformer,1190,2025-10-01T12:53:29.995137,3.497810463982e-15
Graph Transformer,1200,2025-10-01T12:58:24.850056,6.849270885785e-10
Graph Transformer,1210,2025-10-01T13:03:18.882970,4.562844585146e-40
Graph Transformer,1220,2025-10-01T13:08:10.795870,9.193275054109e-52
Graph Transformer,1230,2025-10-01T13:13:04.188780,1.062581889945e-15
Graph Transformer,1240,2025-10-01T13:17:58.073693,3.968967947042e-33
Graph Transformer,1250,2025-10-01T13:22:53.846618,1.584359981740e-08
Graph Transformer,1260,2025-10-01T13:27:48.736538,1.763605206705e-18
Graph Transformer,1270,2025-10-01T13:32:43.894460,5.235294438546e-77
Graph Transformer,1280,2025-10-01T13:37:38.867382,2.045264391025e-85
Graph Transformer,1290,2025-10-01T13:42:34.656309,2.093791642448e-13
Graph Transformer,1300,2025-10-01T13:47:31.351245,1.571478270876e-08
Graph Transformer,1310,2025-10-01T13:52:26.693172,1.198802253016e-28
Graph Transformer,1320,2025-10-01T13:57:21.948098,2.211970633247e-36
Graph Transformer,1330,2025-10-01T14:02:19.227039,2.292442827706e-38
CGENN,10,2025-10-04T21:06:28.556533,5.006652554191e-100
CGENN,20,2025-10-04T21:06:28.813534,1.283774036303e-103
CGENN,30,2025-10-04T21:06:28.303531,2.125610022745e-97
EquiformerV2,10,2025-10-01T14:49:17.340415,4.837877763066e-93
EquiformerV2,20,2025-10-01T15:24:11.269026,5.099551193604e-54
